Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
22/09/2023,"2,490",,1,"2,490","2,490","2,490","2,490","186,613","186,613"
21/09/2023,"2,500",,130,"309,030","2,350","2,520","2,350","187,362","187,362"
20/09/2023,"2,500",,43,"107,480","2,500","2,500","2,490","187,362","187,362"
19/09/2023,"2,500",,39,"97,500","2,530","2,540","2,490","187,362","187,362"
18/09/2023,"2,490",,5,"12,660","2,580","2,580","2,490","186,613","186,613"
15/09/2023,"2,500",,265,"661,350","2,500","2,500","2,490","187,362","187,362"
14/09/2023,"2,460",,152,"378,180","2,480","2,520","2,460","184,365","184,365"
13/09/2023,"2,490",,125,"310,160","2,390","2,510","2,390","186,613","186,613"
12/09/2023,"2,390",,470,"1,200,510","2,620","2,620","2,370","179,119","179,119"
11/09/2023,"2,490",,68,"169,140","2,490","2,490","2,400","186,613","186,613"
08/09/2023,"2,480",,269,"664,150","2,480","2,480","2,420","185,864","185,864"
07/09/2023,"2,480",,429,"1,066,290","2,480","2,500","2,440","185,864","185,864"
06/09/2023,"2,530",,"1,733","4,300,550","2,440","2,530","2,350","189,611","189,611"
05/09/2023,"2,300",,730,"1,715,430","2,480","2,480","2,300","172,374","172,374"
04/09/2023,"2,460",,393,"963,590","2,630","2,630","2,400","184,365","184,365"
01/09/2023,"2,460",,"1,734","4,335,550","2,570","2,570","2,460","184,365","184,365"
31/08/2023,"2,570",,758,"1,942,660","2,600","2,600","2,500","192,609","192,609"
30/08/2023,"2,610",,207,"540,810","2,630","2,650","2,600","195,606","195,606"
29/08/2023,"2,630",,30,"78,900","2,630","2,630","2,630","197,105","197,105"
28/08/2023,"2,660",,"1,131","2,999,440","2,650","2,660","2,640","199,354","199,354"
25/08/2023,"2,680",,159,"425,280","2,680","2,680","2,660","200,853","200,853"
24/08/2023,"2,680",,290,"777,800","2,700","2,700","2,680","200,853","200,853"
23/08/2023,"2,650",,"2,907","7,807,670","2,710","2,720","2,650","198,604","198,604"
22/08/2023,"2,730",,"3,368","9,181,120","2,800","2,800","2,690","204,600","204,600"
21/08/2023,"2,830",,302,"833,200","2,780","2,830","2,750","212,094","212,094"
18/08/2023,"2,840",,52,"147,680","2,840","2,840","2,840","212,844","212,844"
17/08/2023,"2,810",,64,"179,840","2,810","2,810","2,810","210,595","210,595"
16/08/2023,"2,810",,51,"144,210","2,830","2,830","2,810","210,595","210,595"
15/08/2023,"2,830",,"6,307","17,581,720","2,800","2,870","2,780","212,094","212,094"
14/08/2023,"2,870",,146,"415,000","2,770","2,870","2,770","215,092","215,092"
