Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
21/03/2024,"13,500",,78,"1,047,440","13,420","13,500","13,400","279,239","1,545,122"
20/03/2024,"13,420",,558,"7,479,200","13,400","13,420","13,400","277,584","1,535,966"
19/03/2024,"13,440",,588,"7,876,000","13,520","13,520","13,200","277,998","1,538,255"
18/03/2024,"13,580",,296,"3,992,600","13,540","13,580","13,420","280,894","1,554,278"
15/03/2024,"13,540",,551,"7,453,960","13,580","13,580","13,500","280,066","1,549,700"
14/03/2024,"13,600",,"3,267","41,722,620","12,440","13,600","12,440","281,307","1,556,567"
13/03/2024,"13,700",,44,"602,800","13,700","13,700","13,700","283,376","1,568,013"
12/03/2024,"13,700",,122,"1,679,060","13,680","13,800","13,660","283,376","1,568,013"
11/03/2024,"13,640",,18,"245,600","13,700","13,700","13,620","282,135","1,561,146"
07/03/2024,"13,780",,295,"4,011,520","13,700","13,800","13,500","285,031","1,577,169"
06/03/2024,"13,740",,595,"8,157,320","13,740","13,740","13,680","284,203","1,572,591"
05/03/2024,"13,740",,257,"3,525,320","13,700","13,760","13,700","284,203","1,572,591"
04/03/2024,"13,740",,"2,205","29,860,680","13,860","13,860","13,500","284,203","1,572,591"
01/03/2024,"13,860",,70,"967,500","13,660","13,880","13,660","286,685","1,586,325"
29/02/2024,"13,900",,157,"2,167,460","13,700","13,900","13,700","287,513","1,590,903"
28/02/2024,"13,960",,90,"1,251,760","13,960","13,960","13,800","288,754","1,597,771"
27/02/2024,"13,960",,1,"13,960","13,960","13,960","13,960","288,754","1,597,771"
26/02/2024,"13,960",,102,"1,400,380","13,780","13,960","13,720","288,754","1,597,771"
23/02/2024,"13,980",,244,"3,346,920","13,900","14,020","13,500","289,167","1,600,060"
22/02/2024,"13,920",,22,"305,720","13,800","13,920","13,800","287,926","1,593,193"
21/02/2024,"13,900",,130,"1,807,000","13,900","13,900","13,900","287,513","1,590,903"
20/02/2024,"13,980",,156,"2,170,960","14,060","14,060","13,840","289,167","1,600,060"
19/02/2024,"14,020",,30,"418,240","13,860","14,100","13,860","289,995","1,604,638"
16/02/2024,"13,940",,0,0,-,"13,940","13,940","288,340","1,595,482"
15/02/2024,"13,940",,339,"4,659,040","13,540","13,940","13,540","288,340","1,595,482"
14/02/2024,"14,000",,101,"1,404,000","13,900","14,000","13,900","289,581","1,602,349"
13/02/2024,"14,000",,105,"1,469,900","14,000","14,000","13,980","289,581","1,602,349"
12/02/2024,"14,120",,108,"1,504,280","14,100","14,120","13,920","292,063","1,616,083"
09/02/2024,"14,100",,247,"3,448,700","13,900","14,100","13,900","291,650","1,613,794"
08/02/2024,"14,140",,"1,061","14,853,580","14,000","14,140","13,980","292,477","1,618,372"
07/02/2024,"14,000",,161,"2,233,260","13,800","14,000","13,800","289,581","1,602,349"
06/02/2024,"14,000",,70,"978,460","13,860","14,000","13,860","289,581","1,602,349"
05/02/2024,"14,000",,1,"14,000","14,000","14,000","14,000","289,581","1,602,349"
02/02/2024,"13,880",,51,"708,320","13,880","14,000","13,880","287,099","1,588,614"
01/02/2024,"13,980",,245,"3,429,100","14,000","14,000","13,980","289,167","1,600,060"
31/01/2024,"14,000",,56,"783,560","13,980","14,000","13,980","289,581","1,602,349"
30/01/2024,"13,980",,64,"895,000","13,980","14,000","13,980","289,167","1,600,060"
29/01/2024,"13,960",,460,"6,420,440","13,960","13,960","13,880","288,754","1,597,771"
26/01/2024,"13,980",,67,"934,020","13,940","13,980","13,940","289,167","1,600,060"
