Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
13/11/2023,"7,280",60,641,"4,661,080","7,220","7,280","7,220","633,165","3,480,379"
10/11/2023,"7,220",0,"1,051","7,574,020","7,280","7,280","7,180","627,946","3,451,695"
08/11/2023,"7,220",40,"1,188","8,594,340","7,220","7,280","7,220","627,946","3,451,695"
07/11/2023,"7,260",0,551,"3,993,960","7,260","7,260","7,220","631,425","3,470,818"
06/11/2023,"7,260",20,54,"391,260","7,180","7,280","7,180","631,425","3,470,818"
03/11/2023,"7,240",0,"2,361","16,954,420","7,200","7,280","7,160","629,686","3,461,257"
02/11/2023,"7,240",20,488,"3,524,360","7,220","7,240","7,220","629,686","3,461,257"
01/11/2023,"7,220",20,430,"3,111,400","7,140","7,280","7,140","627,946","3,451,695"
31/10/2023,"7,240",20,"3,017","21,494,280","7,220","7,240","7,100","629,686","3,461,257"
30/10/2023,"7,220",20,801,"5,747,560","7,200","7,220","7,100","627,946","3,451,695"
27/10/2023,"7,200",80,"4,878","34,873,680","7,120","7,200","7,060","626,207","3,442,134"
26/10/2023,"7,120",60,"2,065","14,810,200","7,180","7,200","7,120","619,249","3,403,888"
25/10/2023,"7,180",20,"2,020","14,482,060","7,200","7,200","7,140","624,467","3,432,572"
24/10/2023,"7,200",20,"1,806","12,930,160","7,220","7,240","7,140","626,207","3,442,134"
23/10/2023,"7,220",40,770,"5,548,560","7,260","7,260","7,180","627,946","3,451,695"
20/10/2023,"7,260",20,769,"5,568,840","7,280","7,280","7,220","631,425","3,470,818"
19/10/2023,"7,280",20,174,"1,265,200","7,280","7,280","7,260","633,165","3,480,379"
18/10/2023,"7,260",20,442,"3,214,520","7,280","7,280","7,260","631,425","3,470,818"
17/10/2023,"7,280",20,"1,000","7,276,920","7,300","7,300","7,240","633,165","3,480,379"
16/10/2023,"7,300",60,"1,446","10,489,560","7,240","7,300","7,200","634,904","3,489,941"
12/10/2023,"7,240",20,"1,339","9,601,600","7,260","7,260","7,040","629,686","3,461,257"
11/10/2023,"7,260",60,"1,317","9,560,240","7,200","7,280","7,200","631,425","3,470,818"
10/10/2023,"7,200",80,"1,503","10,870,080","7,280","7,300","7,200","626,207","3,442,134"
09/10/2023,"7,280",0,"4,408","32,091,940","7,280","7,300","7,280","633,165","3,480,379"
06/10/2023,"7,280",20,"4,248","30,843,860","7,280","7,280","7,260","633,165","3,480,379"
05/10/2023,"7,260",40,"12,329","89,016,160","7,300","7,300","7,200","631,425","3,470,818"
04/10/2023,"7,300",40,"14,382","101,982,540","7,000","7,340","7,000","634,904","3,489,941"
03/10/2023,"7,340",20,"1,738","12,717,740","7,320","7,340","7,280","638,383","3,509,064"
02/10/2023,"7,320",20,339,"2,479,480","7,300","7,360","7,300","636,644","3,499,502"
29/09/2023,"7,300",0,"2,716","19,884,500","7,300","7,360","7,280","634,904","3,489,941"
28/09/2023,"7,300",0,"1,831","13,379,360","7,340","7,340","7,280","634,904","3,489,941"
27/09/2023,"7,300",0,"14,863","107,597,380","7,300","7,300","7,200","634,904","3,489,941"
26/09/2023,"7,300",40,"23,943","174,830,780","7,360","7,360","7,300","634,904","3,489,941"
25/09/2023,"7,340",60,759,"5,596,620","7,400","7,420","7,340","638,383","3,509,064"
22/09/2023,"7,400",20,106,"783,840","7,380","7,420","7,380","643,601","3,537,748"
21/09/2023,"7,380",40,"1,559","11,524,860","7,420","7,420","7,380","641,862","3,528,187"
20/09/2023,"7,420",20,809,"5,978,960","7,440","7,440","7,360","645,341","3,547,310"
19/09/2023,"7,440",40,14,"104,280","7,460","7,460","7,440","647,080","3,556,871"
18/09/2023,"7,400",20,"2,580","19,130,540","7,440","7,440","7,400","643,601","3,537,748"
