Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
13/02/2024,"2,170",,"1,012","2,200,920","2,180","2,180","2,170","155,969","155,969"
12/02/2024,"2,180",,193,"420,220","2,180","2,180","2,170","156,688","156,688"
09/02/2024,"2,180",,"3,750","8,174,960","2,180","2,190","2,170","156,688","156,688"
08/02/2024,"2,180",,"1,937","4,210,360","2,170","2,180","2,160","156,688","156,688"
07/02/2024,"2,170",,580,"1,248,810","2,150","2,180","2,150","155,969","155,969"
06/02/2024,"2,160",,"16,914","36,365,210","2,150","2,180","2,140","155,250","155,250"
05/02/2024,"2,160",,"32,261","69,372,470","2,150","2,160","2,150","155,250","155,250"
02/02/2024,"2,150",,"7,760","16,733,530","2,160","2,160","2,150","154,531","154,531"
01/02/2024,"2,160",,407,"878,090","2,170","2,170","2,150","155,250","155,250"
31/01/2024,"2,170",,"1,446","3,113,470","2,150","2,170","2,150","155,969","155,969"
30/01/2024,"2,160",,587,"1,270,190","2,170","2,170","2,160","155,250","155,250"
29/01/2024,"2,170",,"1,479","3,221,870","2,180","2,180","2,170","155,969","155,969"
26/01/2024,"2,180",,"6,401","13,882,110","2,170","2,180","2,150","156,688","156,688"
25/01/2024,"2,160",,598,"1,291,130","2,150","2,170","2,150","155,250","155,250"
24/01/2024,"2,150",,"9,328","20,070,490","2,160","2,170","2,150","154,531","154,531"
23/01/2024,"2,160",,"1,368","2,946,960","2,150","2,180","2,150","155,250","155,250"
22/01/2024,"2,160",,"8,129","17,512,220","2,160","2,190","2,150","155,250","155,250"
19/01/2024,"2,160",,"4,705","10,165,400","2,180","2,180","2,160","155,250","155,250"
18/01/2024,"2,170",,535,"1,161,560","2,160","2,180","2,160","155,969","155,969"
17/01/2024,"2,170",,"2,720","5,887,550","2,160","2,180","2,150","155,969","155,969"
16/01/2024,"2,170",,"4,306","9,331,590","2,160","2,170","2,160","155,969","155,969"
15/01/2024,"2,160",,"2,641","5,704,840","2,180","2,180","2,160","155,250","155,250"
12/01/2024,"2,170",,"10,781","23,289,160","2,180","2,180","2,160","155,969","155,969"
11/01/2024,"2,160",,"1,151","2,487,880","2,180","2,180","2,160","155,250","155,250"
10/01/2024,"2,170",,"5,225","11,324,270","2,170","2,180","2,150","155,969","155,969"
09/01/2024,"2,150",,"1,770","3,821,860","2,160","2,180","2,150","154,531","154,531"
08/01/2024,"2,160",,"1,051","2,275,030","2,160","2,180","2,160","155,250","155,250"
05/01/2024,"2,160",,"1,811","3,915,310","2,150","2,180","2,150","155,250","155,250"
04/01/2024,"2,180",,"6,436","14,032,110","2,180","2,190","2,170","156,688","156,688"
03/01/2024,"2,170",,"1,309","2,842,700","2,180","2,180","2,170","155,969","155,969"
02/01/2024,"2,180",,"2,758","6,019,220","2,180","2,190","2,170","156,688","156,688"
29/12/2023,"2,180",,"1,274","2,755,990","2,180","2,180","2,160","156,688","156,688"
28/12/2023,"2,180",,"10,355","22,577,070","2,180","2,190","2,170","156,688","156,688"
27/12/2023,"2,180",,"8,211","17,917,040","2,170","2,200","2,150","156,688","156,688"
26/12/2023,"2,170",,"5,343","11,578,910","2,170","2,170","2,150","155,969","155,969"
25/12/2023,"2,170",,"1,725","3,722,830","2,140","2,170","2,140","155,969","155,969"
22/12/2023,"2,170",,"34,142","73,453,860","2,170","2,180","2,140","155,969","155,969"
21/12/2023,"2,170",,"3,690","7,966,610","2,180","2,180","2,100","155,969","155,969"
20/12/2023,"2,180",,"14,337","31,105,750","2,180","2,190","2,160","156,688","156,688"
19/12/2023,"2,190",,"22,454","48,906,980","2,180","2,200","2,160","157,406","157,406"
18/12/2023,"2,210",,"10,147","22,489,090","2,230","2,230","2,200","158,844","158,844"
15/12/2023,"2,240",,"14,762","32,661,570","2,200","2,280","2,190","161,000","161,000"
14/12/2023,"2,200",,"4,707","10,355,350","2,200","2,210","2,190","158,125","158,125"
13/12/2023,"2,200",,593,"1,305,290","2,200","2,210","2,200","158,125","158,125"
12/12/2023,"2,200",,"16,908","36,759,630","2,210","2,210","2,160","158,125","158,125"
11/12/2023,"2,180",,"3,962","8,662,280","2,180","2,200","2,170","156,688","156,688"
08/12/2023,"2,180",,"2,451","5,354,940","2,180","2,190","2,180","156,688","156,688"
07/12/2023,"2,180",,"1,454","3,178,070","2,190","2,190","2,170","156,688","156,688"
06/12/2023,"2,190",,"3,038","6,628,040","2,180","2,200","2,180","157,406","157,406"
05/12/2023,"2,180",,"4,173","9,098,430","2,180","2,200","2,170","156,688","156,688"
04/12/2023,"2,190",,"1,982","4,310,080","2,180","2,190","2,170","157,406","157,406"
01/12/2023,"2,180",,"1,841","4,012,780","2,180","2,180","2,170","156,688","156,688"
30/11/2023,"2,180",,468,"1,020,240","2,180","2,180","2,180","156,688","156,688"
29/11/2023,"2,170",,"5,284","11,452,970","2,150","2,180","2,150","155,969","155,969"
24/11/2023,"2,150",,"6,715","14,456,270","2,180","2,180","2,150","154,531","154,531"
23/11/2023,"2,170",,"2,511","5,426,270","2,190","2,190","2,150","155,969","155,969"
22/11/2023,"2,180",,"6,483","13,998,080","2,180","2,180","2,150","156,688","156,688"
21/11/2023,"2,180",,"9,395","20,351,070","2,150","2,180","2,150","156,688","156,688"
20/11/2023,"2,150",,"5,843","12,562,760","2,160","2,160","2,140","154,531","154,531"
17/11/2023,"2,160",,"3,187","6,762,520","2,170","2,170","2,110","155,250","155,250"
16/11/2023,"2,160",,"5,651","12,107,400","2,170","2,180","2,140","155,250","155,250"
15/11/2023,"2,170",,945,"2,039,610","2,180","2,180","2,150","155,969","155,969"
14/11/2023,"2,160",,"7,285","15,617,930","2,160","2,180","2,140","155,250","155,250"
13/11/2023,"2,150",,"1,915","4,091,330","2,160","2,160","2,110","154,531","154,531"
10/11/2023,"2,160",,"6,084","13,112,130","2,160","2,210","2,110","155,250","155,250"
08/11/2023,"2,160",,"4,876","10,550,450","2,170","2,170","2,160","155,250","155,250"
07/11/2023,"2,170",,"3,387","7,329,130","2,170","2,170","2,150","155,969","155,969"
06/11/2023,"2,160",,"2,064","4,468,490","2,180","2,180","2,160","155,250","155,250"
03/11/2023,"2,190",,204,"446,210","2,190","2,190","2,170","157,406","157,406"
02/11/2023,"2,170",,731,"1,577,760","2,150","2,200","2,150","155,969","155,969"
01/11/2023,"2,180",,"10,302","22,266,220","2,090","2,240","2,090","156,688","156,688"
31/10/2023,"2,130",,"4,560","9,752,570","2,130","2,150","2,120","153,094","153,094"
30/10/2023,"2,130",,987,"2,106,940","2,140","2,150","2,120","153,094","153,094"
27/10/2023,"2,120",,971,"2,065,320","2,130","2,140","2,100","152,375","152,375"
