Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
05/10/2023,"2,120",,"1,108","2,348,720","2,130","2,130","2,110","687,006","687,006"
04/10/2023,"2,140",,"7,389","15,767,200","2,120","2,140","2,100","693,487","693,487"
03/10/2023,"2,140",,"20,611","43,422,610","2,090","2,140","2,070","693,487","693,487"
02/10/2023,"2,090",,"6,324","13,157,920","2,080","2,090","2,070","677,284","677,284"
29/09/2023,"2,080",,"11,269","23,457,620","2,090","2,090","2,080","674,044","674,044"
28/09/2023,"2,090",,"6,055","12,613,820","2,090","2,090","2,080","677,284","677,284"
27/09/2023,"2,090",,"11,494","23,944,180","2,090","2,090","2,080","677,284","677,284"
26/09/2023,"2,090",,"5,210","10,908,510","2,110","2,110","2,090","677,284","677,284"
25/09/2023,"2,110",,"5,486","11,505,000","2,110","2,110","2,090","683,766","683,766"
22/09/2023,"2,110",,"4,521","9,501,290","2,110","2,110","2,100","683,766","683,766"
21/09/2023,"2,110",,"6,120","12,855,580","2,100","2,110","2,100","683,766","683,766"
20/09/2023,"2,110",,"4,825","10,170,770","2,130","2,130","2,100","683,766","683,766"
19/09/2023,"2,120",,"1,507","3,191,830","2,130","2,130","2,110","687,006","687,006"
18/09/2023,"2,130",,"9,816","20,715,070","2,130","2,130","2,100","690,247","690,247"
15/09/2023,"2,130",,"8,215","17,370,310","2,110","2,130","2,100","690,247","690,247"
14/09/2023,"2,130",,"1,533","3,269,930","2,140","2,150","2,120","690,247","690,247"
13/09/2023,"2,140",,"2,998","6,407,480","2,140","2,150","2,130","693,487","693,487"
12/09/2023,"2,140",,"9,140","19,381,920","2,100","2,150","2,100","693,487","693,487"
11/09/2023,"2,110",,"3,070","6,485,320","2,110","2,130","2,100","683,766","683,766"
08/09/2023,"2,110",,"1,082","2,282,870","2,110","2,110","2,100","683,766","683,766"
07/09/2023,"2,110",,"7,480","15,668,970","2,110","2,110","2,090","683,766","683,766"
06/09/2023,"2,110",,"16,981","35,706,490","2,100","2,120","2,090","683,766","683,766"
05/09/2023,"2,100",,"5,877","12,396,520","2,130","2,130","2,100","680,525","680,525"
