Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
17/01/2024,"2,810",,283,"792,470","2,800","2,820","2,800","112,400","112,400"
16/01/2024,"2,800",,686,"1,921,000","2,810","2,810","2,790","112,000","112,000"
15/01/2024,"2,800",,204,"571,690","2,820","2,820","2,800","112,000","112,000"
12/01/2024,"2,810",,185,"519,960","2,840","2,840","2,810","112,400","112,400"
11/01/2024,"2,820",,185,"519,430","2,810","2,820","2,800","112,800","112,800"
10/01/2024,"2,810",,526,"1,475,820","2,820","2,820","2,800","112,400","112,400"
09/01/2024,"2,820",,354,"993,670","2,810","2,820","2,800","112,800","112,800"
08/01/2024,"2,820",,709,"1,989,930","2,820","2,820","2,800","112,800","112,800"
05/01/2024,"2,820",,685,"1,928,990","2,820","2,820","2,810","112,800","112,800"
04/01/2024,"2,830",,"3,057","8,653,310","2,830","2,840","2,830","113,200","113,200"
03/01/2024,"2,830",,630,"1,778,010","2,830","2,830","2,820","113,200","113,200"
02/01/2024,"2,840",,345,"978,550","2,840","2,840","2,830","113,600","113,600"
29/12/2023,"2,840",,187,"531,080","2,840","2,840","2,840","113,600","113,600"
28/12/2023,"2,840",,66,"186,430","2,840","2,840","2,820","113,600","113,600"
27/12/2023,"2,840",,81,"229,780","2,810","2,840","2,810","113,600","113,600"
26/12/2023,"2,840",,319,"894,160","2,840","2,850","2,800","113,600","113,600"
25/12/2023,"2,840",,365,"1,033,030","2,840","2,840","2,830","113,600","113,600"
22/12/2023,"2,830",,139,"391,910","2,820","2,830","2,790","113,200","113,200"
21/12/2023,"2,820",,159,"448,320","2,830","2,830","2,810","112,800","112,800"
20/12/2023,"2,810",,"7,293","20,337,120","2,810","2,810","2,760","112,400","112,400"
19/12/2023,"2,830",,"4,204","11,723,140","2,840","2,860","2,760","113,200","113,200"
18/12/2023,"2,840",,370,"1,050,220","2,850","2,870","2,830","113,600","113,600"
15/12/2023,"2,870",,453,"1,293,710","2,870","2,870","2,830","114,800","114,800"
14/12/2023,"2,850",,810,"2,305,350","2,840","2,850","2,840","114,000","114,000"
13/12/2023,"2,840",,210,"596,400","2,840","2,840","2,840","113,600","113,600"
12/12/2023,"2,810",,"1,371","3,853,410","2,840","2,840","2,800","112,400","112,400"
11/12/2023,"2,810",,"1,076","3,036,310","2,850","2,850","2,810","112,400","112,400"
08/12/2023,"2,850",,"1,005","2,843,060","2,850","2,860","2,800","114,000","114,000"
07/12/2023,"2,860",,"1,193","3,400,610","2,850","2,890","2,850","114,400","114,400"
06/12/2023,"2,850",,2,"5,700","2,850","2,850","2,850","114,000","114,000"
05/12/2023,"2,850",,292,"831,950","2,850","2,850","2,840","114,000","114,000"
04/12/2023,"2,850",,"1,764","5,003,010","2,870","2,870","2,800","114,000","114,000"
01/12/2023,"2,870",,"4,814","13,505,790","2,800","2,930","2,790","114,800","114,800"
30/11/2023,"2,930",,602,"1,789,930","3,020","3,020","2,810","117,200","117,200"
29/11/2023,"2,860",,209,"589,230","2,880","2,880","2,810","114,400","114,400"
24/11/2023,"2,820",,250,"720,480","2,840","2,930","2,820","112,800","112,800"
23/11/2023,"2,850",,308,"877,820","2,850","2,860","2,850","114,000","114,000"
22/11/2023,"2,850",,"1,062","2,954,660","2,880","2,880","2,770","114,000","114,000"
21/11/2023,"2,880",,4,"11,520","2,880","2,880","2,880","115,200","115,200"
20/11/2023,"2,880",,"1,667","4,717,930","2,930","2,930","2,830","115,200","115,200"
17/11/2023,"2,890",,13,"37,530","2,900","2,900","2,880","115,600","115,600"
