Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
23/10/2023,"2,150",,924,"1,971,390","2,150","2,150","2,120","13,892","39,692"
20/10/2023,"2,160",,86,"186,050","2,170","2,180","2,150","13,957","39,877"
19/10/2023,"2,140",,53,"113,690","2,170","2,170","2,140","13,828","39,508"
18/10/2023,"2,130",,"1,261","2,686,050","2,130","2,140","2,130","13,763","39,323"
17/10/2023,"2,130",,"1,438","3,063,190","2,160","2,160","2,130","13,763","39,323"
16/10/2023,"2,130",,741,"1,581,130","2,170","2,170","2,130","13,763","39,323"
12/10/2023,"2,200",,"1,175","2,514,710","2,130","2,200","2,130","14,215","40,615"
11/10/2023,"2,130",,"5,220","11,068,720","2,120","2,140","2,120","13,763","39,323"
10/10/2023,"2,120",,"4,138","8,791,740","2,150","2,150","2,120","13,698","39,138"
09/10/2023,"2,150",,"1,414","3,010,830","2,160","2,160","2,120","13,892","39,692"
06/10/2023,"2,160",,806,"1,728,200","2,150","2,160","2,130","13,957","39,877"
05/10/2023,"2,150",,526,"1,125,800","2,150","2,150","2,140","13,892","39,692"
04/10/2023,"2,150",,596,"1,270,780","2,160","2,160","2,130","13,892","39,692"
03/10/2023,"2,150",,"3,278","7,044,910","2,150","2,150","2,140","13,892","39,692"
02/10/2023,"2,150",,91,"195,640","2,150","2,150","2,140","13,892","39,692"
29/09/2023,"2,150",,468,"1,006,230","2,150","2,160","2,150","13,892","39,692"
28/09/2023,"2,160",,100,"216,000","2,160","2,160","2,160","13,957","39,877"
27/09/2023,"2,160",,252,"542,130","2,160","2,160","2,150","13,957","39,877"
26/09/2023,"2,160",,"3,039","6,455,320","2,130","2,160","2,120","13,957","39,877"
25/09/2023,"2,140",,"3,653","7,839,380","2,150","2,150","2,140","13,828","39,508"
22/09/2023,"2,150",,892,"1,921,720","2,160","2,160","2,150","13,892","39,692"
