Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
08/12/2023,"12,340",,94,"1,161,780","12,380","12,400","12,340","1,058,426","5,556,737"
07/12/2023,"12,400",,"1,845","22,720,100","12,260","12,400","12,260","1,063,572","5,583,755"
06/12/2023,"12,300",,707,"8,715,940","12,460","12,460","12,240","1,054,995","5,538,725"
05/12/2023,"12,360",,347,"4,291,480","12,400","12,400","12,360","1,060,142","5,565,743"
04/12/2023,"12,400",,388,"4,754,240","12,400","12,400","12,200","1,063,572","5,583,755"
01/12/2023,"12,400",,421,"5,188,900","12,420","12,420","12,280","1,063,572","5,583,755"
30/11/2023,"12,420",,58,"720,420","12,440","12,440","12,420","1,065,288","5,592,761"
29/11/2023,"12,440",,246,"3,068,600","12,480","12,480","12,420","1,067,003","5,601,767"
24/11/2023,"12,460",,362,"4,464,460","12,320","12,480","12,300","1,068,719","5,610,773"
23/11/2023,"12,460",,320,"3,992,060","12,580","12,580","12,460","1,068,719","5,610,773"
22/11/2023,"12,460",,309,"3,832,220","12,460","12,460","12,300","1,068,719","5,610,773"
21/11/2023,"12,460",,"4,378","53,448,860","12,340","12,460","12,180","1,068,719","5,610,773"
20/11/2023,"12,360",,433,"5,368,420","12,540","12,540","12,360","1,060,142","5,565,743"
17/11/2023,"12,600",,158,"1,990,600","12,660","12,660","12,500","1,080,727","5,673,816"
16/11/2023,"12,600",,"1,296","16,335,480","12,580","12,660","12,580","1,080,727","5,673,816"
15/11/2023,"12,540",,"5,873","72,820,080","12,340","12,560","12,340","1,075,580","5,646,797"
14/11/2023,"12,340",,298,"3,682,720","12,360","12,360","12,300","1,058,426","5,556,737"
13/11/2023,"12,360",,168,"2,076,460","12,360","12,360","12,340","1,060,142","5,565,743"
10/11/2023,"12,360",,115,"1,413,360","12,380","12,380","12,280","1,060,142","5,565,743"
08/11/2023,"12,240",,54,"666,520","12,200","12,360","12,200","1,049,849","5,511,707"
07/11/2023,"12,340",,"1,246","15,354,800","12,320","12,360","12,300","1,058,426","5,556,737"
06/11/2023,"12,320",,376,"4,587,480","12,200","12,320","12,200","1,056,711","5,547,731"
03/11/2023,"12,300",,842,"10,252,760","12,300","12,300","12,140","1,054,995","5,538,725"
02/11/2023,"12,300",,647,"7,887,520","12,340","12,340","12,140","1,054,995","5,538,725"
01/11/2023,"12,300",,"3,977","48,808,940","12,140","12,340","12,140","1,054,995","5,538,725"
31/10/2023,"12,300",,51,"628,540","12,340","12,340","12,300","1,054,995","5,538,725"
30/10/2023,"12,340",,"2,988","36,306,900","12,060","12,340","12,060","1,058,426","5,556,737"
27/10/2023,"12,300",,"1,735","21,089,380","12,300","12,320","12,080","1,054,995","5,538,725"
26/10/2023,"12,300",,895,"10,896,820","12,300","12,360","12,120","1,054,995","5,538,725"
25/10/2023,"12,300",,950,"11,702,480","12,320","12,400","12,140","1,054,995","5,538,725"
24/10/2023,"12,320",,476,"5,844,260","12,300","12,360","12,100","1,056,711","5,547,731"
23/10/2023,"12,300",,570,"6,960,360","12,120","12,300","12,120","1,054,995","5,538,725"
20/10/2023,"12,280",,75,"919,320","12,280","12,280","12,160","1,053,280","5,529,719"
19/10/2023,"12,280",,887,"10,897,120","12,380","12,380","12,260","1,053,280","5,529,719"
18/10/2023,"12,380",,990,"12,128,740","12,360","12,480","12,180","1,061,857","5,574,749"
17/10/2023,"12,360",,269,"3,305,800","12,360","12,360","12,280","1,060,142","5,565,743"
16/10/2023,"12,340",,40,"493,560","12,340","12,340","12,300","1,058,426","5,556,737"
12/10/2023,"12,220",,21,"255,320","12,120","12,220","12,120","1,048,133","5,502,701"
11/10/2023,"12,200",,147,"1,792,900","12,300","12,300","12,100","1,046,418","5,493,695"
10/10/2023,"12,100",,"1,719","20,809,780","12,180","12,180","12,100","1,037,841","5,448,664"
09/10/2023,"12,180",,204,"2,487,580","12,200","12,200","12,180","1,044,703","5,484,688"
06/10/2023,"12,200",,5,"60,840","12,160","12,200","12,160","1,046,418","5,493,695"
05/10/2023,"12,160",,"1,066","12,983,560","12,200","12,220","12,140","1,042,987","5,475,682"
04/10/2023,"12,200",,147,"1,793,120","12,240","12,240","12,160","1,046,418","5,493,695"
